ticker,company,sector,sub_industry,has_climate_oversight_committee,has_third_party_assurance,assurance_level,emissions_boundary_stated,has_clawback_policy,has_psu_plan,performance_period_years,independent_director_count,board_size,lead_independent_director,buybacks_usd,dividends_paid_usd
CL,Colgate-Palmolive,Consumer Staples,Household Products,,,,,1.0,1.0,3.0,,,1.0,1128000000.0,
CLX,Clorox,Consumer Staples,Household Products,,1.0,reasonable,,1.0,1.0,3.0,,,1.0,0.0,583000000.0
CMCSA,Comcast,Communication Services,Cable & Satellite,,,,,1.0,1.0,3.0,9.0,11.0,1.0,11291000000.0,4766000000.0
CME,CME Group,Financials,Financial Exchanges & Data,,,,,1.0,0.0,3.0,,,1.0,,3235500000.0
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,,,,1.0,1.0,1.0,3.0,,,1.0,592349000.0,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,,,,,1.0,1.0,1.0,10.0,11.0,1.0,0.0,921000000.0
CMS,CMS Energy,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,,,0.0,,
CNC,Centene Corporation,Health Care,Managed Health Care,,,,,1.0,1.0,3.0,,,1.0,1633000000.0,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,,,,,1.0,1.0,3.0,,,1.0,,485000000.0
COF,Capital One,Financials,Consumer Finance,,,,,1.0,1.0,3.0,12.0,13.0,1.0,718000000.0,931000000.0
COHR,Coherent Corp.,Information Technology,Electronic Components,,,,,1.0,1.0,1.0,,,1.0,,
COIN,Coinbase,Financials,Financial Exchanges & Data,,,,,1.0,0.0,,7.0,9.0,1.0,0.0,
COO,Cooper Companies (The),Health Care,Health Care Supplies,,,,,1.0,1.0,3.0,,,1.0,0.0,3000000.0
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,,,,,1.0,1.0,3.0,11.0,13.0,1.0,5400000000.0,5583000000.0
COR,Cencora,Health Care,Health Care Distributors,,,,,1.0,0.0,3.0,,,1.0,1180728000.0,398752000.0
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,,,,,1.0,0.0,,,,1.0,676000000.0,1251000000.0
CPAY,Corpay,Financials,Transaction & Payment Processing Services,,,,,1.0,0.0,1.0,,,1.0,686859000.0,
CPRT,Copart,Industrials,Diversified Support Services,,,,,0.0,0.0,,,,1.0,,
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,,,,,1.0,1.0,3.0,,,0.0,0.0,434875000.0
CRH,CRH plc,Materials,Construction Materials,,,,,1.0,1.0,3.0,,,0.0,3067000000.0,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,,,,,1.0,1.0,3.0,,,1.0,24155000.0,
CRM,Salesforce,Information Technology,Application Software,,1.0,limited,,1.0,1.0,3.0,,,1.0,7620000000.0,0.0
CRWD,CrowdStrike,Information Technology,Systems Software,,1.0,limited,1.0,1.0,1.0,1.0,,,0.0,,
CSCO,Cisco,Information Technology,Communications Equipment,,,,1.0,1.0,0.0,3.0,,,1.0,4293000000.0,6302000000.0
CSGP,CoStar Group,Real Estate,Real Estate Services,1.0,,,,1.0,1.0,1.0,,,0.0,0.0,
CSX,CSX Corporation,Industrials,Rail Transportation,,,,,1.0,0.0,3.0,,,1.0,3482000000.0,882000000.0
CTAS,Cintas,Industrials,Diversified Support Services,,,,,1.0,0.0,,,,1.0,700033000.0,530909000.0
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,,,,,1.0,1.0,3.0,,,0.0,1064000000.0,591000000.0
