ticker,company,sector,environmental_score,transition_score,governance_score,n_pillars_available,data_confidence_pct,final_score
EL,Estée Lauder Companies (The),Consumer Staples,70.00849352926504,42.68203861690144,60.85538740048411,3,89.30952380952381,57.84863984888352
ELV,Elevance Health,Health Care,42.52624792154467,74.5563940457038,49.055744611097445,3,90.5,55.37946219278197
EME,Emcor,Industrials,18.19655930535939,72.04714681474104,62.45414727019487,3,76.33333333333333,50.89928446343177
EMR,Emerson Electric,Industrials,47.74096125418539,93.2857402740424,50.10255294858577,3,93.47619047619047,63.70975149227118
EOG,EOG Resources,Energy,60.63574520717378,60.18084773308367,26.78313253012048,3,91.73789173789172,49.199908490125964
EQIX,Equinix,Real Estate,54.46502673796792,90.19690528576392,47.33998376233279,3,84.19413919413918,64.00063859535487
EQT,EQT Corporation,Energy,77.89115646258504,74.11174539611855,82.77839079166583,3,82.5,78.26043088345648
ERIE,Erie Indemnity,Financials,25.558441558441555,71.14940331426837,38.77341909459134,3,84.66666666666667,45.160421322433756
ES,Eversource Energy,Utilities,78.74900683298901,48.85419648397021,76.21227588929287,3,89.4230769230769,67.93849306875069
ESS,Essex Property Trust,Real Estate,58.08000000000001,61.41599476026805,79.36546184738955,3,76.49572649572649,66.28715220255253
ETN,Eaton Corporation,Industrials,35.308641975308646,74.90523542801705,35.91021514409455,3,87.64285714285714,48.70803084914007
ETR,Entergy,Utilities,21.64031463530907,0.0,46.91116853510476,3,92.39926739926739,22.85049439013794
EVRG,Evergy,Utilities,3.2003813761322064,0.0,54.896640941646766,3,92.39926739926739,19.365674105926324
EW,Edwards Lifesciences,Health Care,67.84777223523024,82.40806127029433,46.23644889225736,3,93.47619047619047,65.4974274659273
EXC,Exelon,Utilities,85.23279834737009,48.89336166533956,53.29176060497799,3,92.39926739926739,62.472640205895885
EXE,Expand Energy,Energy,50.06802721088435,72.27390131913451,85.41038633846688,3,75.49999999999999,69.25077162282858
EXPD,Expeditors International,Industrials,62.50380656556429,71.97498963828717,62.84642579613118,3,77.16666666666666,65.77507399999422
EXPE,Expedia Group,Consumer Discretionary,61.49828552312454,74.89512580551971,47.83880348982134,3,89.30952380952381,61.41073827282186
EXR,Extra Space Storage,Real Estate,16.041069518716572,74.9054153124263,47.64459901208714,3,84.66666666666667,46.19702794774334
F,Ford Motor Company,Consumer Discretionary,26.363218198544786,77.02150117209925,56.87435098953498,3,92.97619047619048,53.41969012005967
FANG,Diamondback Energy,Energy,3.129251700680276,57.51911506768204,79.69879518072288,3,79.82905982905982,46.78238731636173
FAST,Fastenal,Industrials,49.63397082371151,73.4940056985703,41.94970105081619,3,82.28571428571428,55.025892524366
FCX,Freeport-McMoRan,Materials,67.1886936592819,73.29767000934714,71.09561721875741,3,89.99999999999999,70.52732696246214
FDS,FactSet,Financials,34.879406307977725,79.29349474948118,60.574098710678086,3,87.64285714285714,58.24899992271233
FDX,FedEx,Industrials,63.04901383785857,72.0613217937437,66.98079321803017,3,84.66666666666667,67.36370961654414
FDXF,FedEx Freight,Industrials,45.96093093630416,57.714048221228495,37.752508864497806,3,85.38461538461537,47.14249600734348
FE,FirstEnergy,Utilities,46.34779384501298,6.362546326339006,65.34110552630779,3,92.39926739926739,39.35048189921992
FERG,Ferguson Enterprises,Industrials,30.11508015442229,71.81395493837395,38.02938439011088,3,83.47619047619048,46.65280649430237
